cgpa,aptitude,communication,skills,internships,projects,shortlisted
5.8,68,51,4,4,1,0
7.79,80,68,4,0,2,1
9.39,59,70,5,0,0,0
6.21,65,78,4,0,4,0
6.63,69,36,3,1,2,0
7.3,72,74,5,3,1,0
6.7,71,57,6,1,4,1
5.65,76,76,3,0,5,0
7.27,82,58,2,1,0,0
6.14,75,60,4,1,2,0
7.67,76,68,8,1,6,0
6.28,46,58,6,0,3,0
8.75,70,65,5,1,6,1
6.42,77,56,7,1,2,0
6.88,80,48,4,0,2,0
8.01,59,85,8,1,2,1
5.97,60,55,4,4,1,1
7.43,61,69,4,0,5,0
8.51,78,81,5,4,6,1
5.59,85,64,4,0,6,0
7.38,63,61,5,2,5,0
7.46,83,74,4,0,5,0
7.98,71,86,5,0,4,1
5.96,68,56,4,1,5,0
5.88,66,70,2,1,2,0
7.72,81,49,7,2,3,1
7.5,74,66,7,1,4,0
7.45,100,72,8,1,5,1
7.55,57,60,6,3,4,0
6.52,77,66,5,1,5,0
7.43,62,53,5,0,3,0
7.49,56,73,3,0,4,0
6.49,69,85,3,1,6,0
9.07,72,57,4,2,2,1
7.67,100,63,7,0,6,1
6.01,67,78,3,0,3,0
7.86,53,87,7,0,4,1
6.23,74,52,5,1,5,1
7.99,38,69,6,0,3,0
8.36,68,75,3,0,3,0
6.38,70,70,4,1,3,0
8.16,81,39,8,2,0,1
7.61,84,78,4,0,3,0
8.02,62,91,4,1,2,1
9.1,67,73,3,0,6,1
6.95,58,58,3,3,1,0
6.45,53,65,4,0,3,0
6.31,74,95,5,4,6,1
6.38,50,83,5,4,5,1
7.12,63,80,5,2,4,0
7.54,55,76,3,0,3,0
7.48,78,63,6,1,2,1
8.03,97,69,6,0,3,0
7.21,50,70,1,3,1,0
8.65,42,79,4,2,4,1
6.94,68,91,2,4,2,0
9.92,70,86,6,1,4,1
7.83,73,53,6,1,3,1
6.34,63,74,7,1,3,1
6.13,66,81,4,1,3,0
7.68,75,80,5,1,5,1
6.98,85,63,3,1,2,1
7.91,40,100,4,3,3,1
7.67,64,55,5,1,1,0
7.13,73,57,2,3,1,0
6.35,56,75,6,3,4,1
5.69,95,99,5,1,2,1
6.75,60,61,6,0,1,0
8.06,69,68,4,1,5,1
7.41,78,86,7,1,3,0
5.95,61,71,8,0,1,0
7.37,42,67,7,1,1,0
7.59,63,79,6,4,1,1
6.32,85,75,6,0,3,0
7.35,64,85,5,2,4,1
7.26,57,88,3,2,4,0
6.06,83,75,5,1,1,0
7.56,65,75,6,1,4,1
7.76,62,74,8,2,3,1
8.28,72,78,5,1,3,0
8.25,81,72,4,0,5,0
5.82,100,71,5,4,2,0
6.26,82,87,8,1,1,1
7.72,87,91,3,2,5,0
7.71,62,52,4,1,2,0
7.72,54,72,5,0,2,0
10.0,70,63,3,4,4,0
7.77,71,67,1,2,4,0
8.34,53,77,4,0,5,0
8.15,67,80,7,4,2,0
7.85,75,70,2,2,3,0
6.88,75,47,4,1,1,0
7.96,77,59,6,1,3,1
6.43,74,83,8,0,2,1
6.96,62,36,8,1,4,0
6.71,62,87,4,0,0,0
7.28,52,78,8,1,1,0
9.51,96,89,2,1,3,0
5.33,70,69,6,3,6,0
7.89,66,45,5,2,5,0
5.59,56,77,4,0,6,0
6.73,100,88,5,3,3,1
8.29,53,84,3,1,0,0
7.26,63,63,7,1,2,0
6.12,76,73,4,0,4,0
6.48,79,65,5,3,1,0
7.88,84,61,3,3,2,1
6.47,97,84,3,2,1,0
7.42,77,56,8,3,3,1
7.25,54,60,6,0,2,0
6.55,66,57,8,3,1,0
9.34,74,52,4,1,3,0
7.83,100,73,3,0,3,0
5.17,49,87,5,2,3,1
7.39,88,69,5,2,4,1
6.54,72,52,3,0,1,0
8.05,82,82,6,0,4,1
6.41,68,93,4,0,0,0
7.09,57,63,3,1,3,1
7.7,81,65,4,0,3,0
8.07,79,78,5,0,6,1
6.0,84,93,6,1,3,0
6.87,69,65,5,4,2,1
6.73,61,54,5,2,3,1
6.55,46,80,3,0,3,0
8.97,82,82,7,4,3,1
7.6,76,72,7,1,2,1
5.94,55,64,5,1,3,0
8.12,61,84,1,1,2,1
9.32,62,78,5,1,4,1
8.23,47,62,5,0,3,0
5.68,57,72,8,1,1,1
6.72,52,54,8,1,5,0
8.47,63,80,7,1,4,0
6.49,58,68,2,2,2,0
7.64,45,66,8,1,0,0
7.97,100,71,5,2,4,1
6.27,88,72,6,1,3,0
7.14,58,83,4,4,5,1
4.0,74,79,4,1,0,0
6.18,76,69,5,3,0,0
6.95,87,81,3,2,6,1
5.95,57,77,4,1,6,0
8.83,86,66,7,2,0,1
5.77,61,70,2,0,4,0
6.76,49,70,3,4,2,0
7.33,80,78,3,0,4,0
8.64,89,67,4,1,5,1
5.76,100,66,8,0,1,1
8.36,52,97,3,1,2,0
7.21,80,84,3,1,0,0
6.22,63,62,7,3,0,1
7.66,81,79,7,1,0,1
7.4,47,73,2,4,5,0
6.6,51,77,6,1,2,0
7.27,58,73,5,0,3,0
6.81,71,87,6,0,4,1
7.31,60,76,5,2,3,0
7.86,79,71,8,0,3,1
8.79,85,85,2,1,0,0
5.96,78,75,4,0,3,0
9.33,94,73,4,1,1,1
5.25,76,76,4,2,4,0
7.05,51,70,7,1,2,0
7.79,90,72,5,0,4,1
7.48,60,64,2,0,4,0
6.58,83,62,4,1,4,0
6.99,93,59,4,0,2,0
6.71,76,53,8,1,2,0
6.61,47,60,5,1,5,0
8.05,56,69,5,0,0,0
7.56,89,73,6,1,2,1
6.51,67,68,6,1,4,0
8.1,71,41,5,0,5,0
7.51,81,92,4,1,3,1
8.01,80,86,7,0,4,0
7.83,74,77,6,1,3,0
6.37,66,96,6,2,1,1
6.64,65,59,8,0,4,1
7.95,82,96,6,1,5,1
7.81,78,59,6,1,6,1
7.18,66,75,8,0,0,0
7.32,86,55,3,2,4,0
8.48,68,72,5,1,3,0
6.61,57,77,5,1,0,0
7.75,58,69,4,2,4,0
7.0,55,81,6,2,1,1
6.98,65,73,6,4,3,1
8.3,88,65,6,1,2,1
8.03,57,64,8,3,3,1
8.01,72,82,4,0,3,0
8.51,60,63,6,1,3,0
7.22,66,83,5,0,3,0
7.88,47,87,4,0,2,0
6.89,66,50,3,1,4,0
7.52,67,86,7,2,5,1
7.07,78,98,5,1,2,0
7.3,73,75,6,2,3,0
7.8,52,79,5,1,4,1
6.38,86,85,3,1,3,0
9.29,73,68,4,0,3,1
6.19,72,74,4,1,4,0
5.99,69,54,8,0,0,0
8.36,62,73,1,1,3,0
7.99,73,78,8,0,3,1
7.82,77,78,8,0,0,1
7.83,43,85,8,2,3,0
7.19,61,61,5,1,4,1
6.3,66,65,8,1,4,1
7.28,73,96,4,0,1,0
6.52,87,70,1,1,6,0
8.18,58,74,3,2,4,1
7.05,62,71,7,3,3,0
6.37,62,61,1,2,2,0
6.88,57,93,5,0,3,0
7.61,64,65,2,2,5,0
6.64,81,57,4,0,3,0
6.38,54,66,3,0,4,0
7.44,76,45,7,0,3,0
7.44,44,63,5,2,3,1
6.69,61,59,7,1,2,0
6.73,65,80,5,1,4,0
7.43,95,63,8,2,3,1
5.75,65,83,5,0,2,1
5.79,36,90,5,1,3,1
6.48,40,82,5,1,5,0
6.99,70,69,5,1,4,0
7.51,79,73,6,2,2,0
8.68,75,52,5,0,5,0
8.06,72,70,6,2,1,0
7.04,87,60,6,1,0,0
7.18,61,81,3,2,1,0
6.2,83,100,5,1,1,1
7.18,45,78,3,3,1,0
6.91,56,46,5,0,4,0
7.52,42,67,5,2,4,1
6.37,65,73,8,1,4,0
7.72,69,73,2,0,4,0
8.73,71,62,3,0,4,0
7.09,70,75,2,2,2,1
7.6,56,55,4,0,4,0
7.89,67,59,6,0,3,0
6.8,47,80,6,4,6,1
7.42,90,58,6,2,2,1
7.21,65,78,7,0,1,0
7.3,62,54,4,1,4,0
6.43,93,94,3,1,4,0
7.22,51,61,2,2,2,1
7.7,53,69,7,2,3,0
8.65,53,76,6,2,1,1
8.16,68,64,5,0,6,0
9.35,76,73,4,1,1,1
6.43,81,79,4,0,1,0
8.07,100,84,8,0,0,1
7.38,36,82,2,2,3,0
9.39,79,69,6,0,1,0
6.39,61,70,4,1,4,1
6.36,61,100,2,2,5,1
6.6,60,84,6,1,2,0
5.08,56,60,4,0,4,0
6.67,95,73,6,2,0,1
6.44,82,67,6,3,3,1
7.35,70,70,5,2,2,1
7.54,90,56,6,1,2,0
9.08,47,66,5,0,4,0
8.15,50,95,4,0,1,0
6.62,37,79,6,2,5,0
6.3,59,39,5,0,4,0
7.69,72,87,1,3,4,1
5.88,71,86,7,1,6,0
9.03,72,67,5,1,6,0
8.38,48,81,7,2,3,1
6.73,82,60,7,2,3,1
5.49,73,65,4,1,2,0
8.55,80,91,5,3,4,0
7.09,41,68,4,4,3,0
8.44,74,47,4,3,6,1
5.61,52,71,7,2,2,0
6.6,64,70,6,2,2,0
7.21,78,87,3,2,2,1
7.25,71,72,5,0,5,0
6.75,57,66,8,0,1,0
7.82,70,85,5,0,3,0
6.13,47,73,6,0,3,0
7.06,87,62,6,1,1,1
7.32,66,87,4,0,3,0
7.71,86,74,4,3,3,1
7.91,62,72,6,2,1,1
6.08,62,74,5,0,3,0
5.67,58,58,5,0,6,0
8.48,83,65,6,2,6,0
7.53,59,72,6,2,3,0
6.45,79,69,4,3,3,0
8.75,64,88,3,4,2,1
7.32,40,74,4,4,6,0
8.38,61,83,5,1,2,0
7.27,52,72,4,0,3,0
9.26,70,85,5,2,0,0
8.96,52,77,2,0,2,0
6.95,83,72,5,2,1,1
8.17,68,71,4,1,4,1
7.85,67,59,5,2,3,0
8.57,79,78,4,0,3,1
6.24,84,71,4,1,2,0
7.89,69,65,7,1,5,0
8.26,58,86,3,3,0,0
5.44,43,55,5,0,2,0
6.02,59,66,7,3,4,0
5.16,60,85,5,2,5,1
6.93,71,76,7,2,2,0
7.92,64,71,3,2,3,1
8.7,80,75,5,1,3,1
7.27,60,74,5,0,5,1
8.83,69,52,1,0,1,0
5.82,87,67,4,3,3,1
5.5,75,93,4,2,2,0
7.14,69,63,5,0,0,0
7.58,60,67,7,1,1,0
7.17,60,64,3,1,6,0
5.13,57,70,4,0,2,0
7.11,61,64,4,1,6,0
5.9,81,78,5,0,2,1
7.87,66,74,6,0,6,0
7.57,49,82,4,1,4,0
6.26,96,58,1,1,1,1
6.69,74,67,6,0,3,0
6.14,48,69,7,1,2,0
7.14,63,77,5,0,3,1
8.16,71,61,5,0,3,1
6.21,95,83,3,0,3,0
7.7,53,87,3,0,4,0
6.67,84,59,4,0,4,0
6.41,90,65,4,2,2,0
7.09,60,65,7,1,6,1
6.16,65,100,5,0,6,1
6.65,54,66,3,0,0,0
6.0,66,93,4,0,0,1
9.16,69,55,4,2,3,1
7.24,79,59,5,1,3,1
6.5,86,63,4,0,2,0
7.41,58,61,4,1,2,0
7.09,40,68,5,1,4,0
6.98,69,62,4,0,4,0
7.81,74,61,2,1,2,0
7.96,73,87,1,1,5,1
6.67,65,87,4,0,4,0
6.62,71,84,3,2,3,1
6.92,92,78,4,2,4,1
4.9,75,73,6,1,1,0
5.68,64,65,6,0,3,0
8.57,62,59,5,1,2,1
8.84,67,76,7,1,0,1
6.95,94,56,4,2,2,0
7.78,67,59,7,1,2,1
7.51,69,86,4,0,4,1
10.0,62,96,4,1,4,0
8.32,86,77,4,2,1,0
7.07,99,86,3,1,0,0
6.24,76,68,8,3,4,1
5.59,71,54,3,2,0,0
7.4,70,79,4,0,2,0
6.44,34,79,4,3,3,1
5.78,81,72,2,1,5,1
6.55,72,68,3,2,5,1
6.12,76,84,2,2,4,0
8.89,59,59,4,1,2,1
8.08,64,61,7,1,4,0
7.19,63,58,4,3,2,0
8.68,85,73,3,0,2,1
7.28,64,57,5,0,3,0
6.34,100,63,8,1,4,1
8.72,76,62,4,3,1,0
7.74,50,68,4,3,1,0
6.16,68,52,8,0,4,1
7.01,60,73,3,3,5,0
6.32,37,88,5,0,4,0
5.82,93,73,4,4,3,1
8.13,80,92,7,1,5,1
9.11,77,89,8,0,4,1
5.8,72,82,6,0,3,0
7.76,49,72,4,0,2,1
6.55,62,72,4,0,2,0
6.71,82,81,4,2,3,1
6.61,54,66,7,0,2,0
6.34,32,47,7,4,2,0
7.25,66,78,4,1,3,0
6.37,67,57,5,2,2,0
7.47,72,59,3,0,5,0
7.15,80,72,4,3,1,1
6.96,79,70,5,2,3,0
6.29,73,53,4,3,4,0
6.62,87,74,4,4,3,1
7.96,47,84,1,0,3,0
7.7,77,57,6,0,3,0
6.22,79,88,7,2,5,1
7.3,51,51,8,3,6,1
7.95,47,99,6,1,4,1
5.53,58,66,5,1,4,0
7.74,60,73,4,2,0,0
6.54,81,47,8,0,5,1
7.77,60,71,5,0,6,0
6.44,57,74,5,1,3,0
5.4,60,70,5,0,4,0
5.57,86,64,6,1,3,1
7.25,70,59,1,4,2,0
7.46,67,86,3,2,5,0
6.3,68,72,5,3,3,1
7.84,89,92,7,2,3,1
5.54,58,65,5,1,4,0
7.13,89,66,4,2,5,1
5.99,73,82,4,3,4,0
6.55,67,50,6,3,2,1
7.25,100,56,6,2,3,1
6.34,54,86,5,0,6,1
6.82,64,56,4,0,3,0
8.21,51,48,7,0,6,0
6.62,84,96,5,4,5,1
8.04,95,53,6,1,4,1
6.07,95,74,3,3,2,1
7.73,88,72,4,1,2,0
8.64,67,35,7,2,4,0
4.73,64,68,2,0,3,0
6.4,44,77,5,0,4,0
7.78,100,76,5,1,4,1
7.0,77,83,6,1,2,0
7.57,62,66,4,0,4,0
6.6,89,81,3,2,3,1
7.29,55,63,7,1,2,0
7.04,76,53,5,2,3,1
8.37,67,55,3,0,5,0
7.45,79,52,3,2,3,0
7.54,69,85,8,0,2,0
6.79,48,52,3,2,3,0
6.71,71,75,5,1,2,0
6.77,85,68,4,2,3,0
7.59,69,70,7,3,1,0
6.78,81,89,6,0,5,1
7.49,54,66,5,0,2,0
9.28,69,79,1,2,3,0
8.07,60,72,7,1,1,0
6.87,81,70,4,0,6,0
8.4,70,100,7,1,3,1
6.79,80,53,5,0,5,0
5.16,86,88,5,0,4,1
6.19,80,80,2,1,4,0
5.33,74,65,6,2,5,0
6.85,55,93,4,1,1,0
7.22,69,47,4,1,4,0
8.88,62,65,3,3,2,0
7.53,64,56,3,0,4,0
6.98,64,77,3,2,6,1
8.03,55,57,4,3,5,1
4.99,40,77,7,0,1,0
7.44,59,69,4,1,3,0
7.97,72,65,6,4,3,1
5.72,49,77,3,4,1,0
8.34,70,68,5,0,1,0
7.54,98,57,5,0,3,1
6.78,85,100,8,0,6,1
7.83,94,65,6,1,3,1
9.47,75,43,5,1,4,1
7.38,87,61,6,1,3,1
7.45,59,55,3,3,4,0
6.74,60,82,5,0,6,1
6.35,30,76,2,2,3,0
8.03,87,77,4,0,1,0
6.34,93,67,3,0,3,0
7.27,61,68,6,1,6,0
6.72,66,67,5,0,3,1
7.68,58,70,6,1,3,1
7.53,75,82,5,3,1,1
8.24,86,76,3,0,1,0
6.69,43,78,6,2,5,0
6.93,76,78,6,0,2,0
6.22,65,83,7,0,2,0
6.76,71,75,5,1,3,0
7.58,76,76,6,2,6,1
7.96,67,87,6,1,1,1
6.28,68,63,3,1,5,0
8.07,66,60,3,3,2,0
8.56,84,56,2,2,5,1
7.61,76,74,4,0,6,0
9.08,73,47,5,2,2,1
6.43,50,78,8,1,1,1
5.96,64,70,4,2,1,0
5.42,83,86,6,1,4,1
8.7,70,63,5,0,1,0
7.85,79,69,3,1,2,1
7.14,96,86,2,1,2,1
7.48,85,89,5,1,3,0
6.07,71,63,6,3,1,0
9.65,62,74,8,3,5,1
7.33,31,75,4,1,5,0
7.31,67,76,7,1,3,1
7.93,65,68,4,1,4,1
7.68,75,88,5,1,4,1
7.42,67,47,5,4,4,1
6.41,65,66,2,1,3,0
7.67,43,77,2,0,3,0
9.08,55,77,1,1,4,1
8.55,77,89,4,1,4,1
8.79,95,87,6,1,2,1
6.69,68,68,3,1,2,0
6.21,74,88,5,0,2,0
7.07,84,62,4,0,3,0
7.26,57,84,6,0,3,0
8.29,75,95,6,1,3,1
5.51,58,87,6,0,3,1
8.73,82,73,5,2,5,1
7.04,72,67,4,0,1,0
6.77,74,52,6,3,3,0
6.19,58,76,3,0,3,0
5.55,80,57,4,0,3,0
8.02,100,61,3,1,3,1
7.27,54,56,5,0,5,0
5.91,64,66,5,3,2,1
5.9,73,71,5,0,5,0
6.86,81,75,4,1,5,1
8.87,61,64,3,3,4,1
6.94,30,85,7,1,4,0
5.7,90,69,5,0,4,0
6.95,81,61,4,0,3,1
6.93,43,74,5,1,6,0
4.5,60,97,3,0,2,0
7.15,93,76,3,1,2,0
6.97,91,67,4,2,2,0
7.9,84,52,3,3,4,0
9.05,67,69,4,0,2,1
8.33,71,75,7,0,5,0
6.93,68,66,5,0,3,1
6.09,86,50,5,1,5,0
9.77,56,60,5,1,2,0
7.26,57,90,8,2,2,0
7.21,85,90,3,2,1,0
7.18,69,60,6,0,2,0
7.4,90,80,5,1,3,0
7.06,59,56,3,0,6,1
6.63,69,90,4,0,3,0
6.65,56,75,5,0,4,1
7.17,70,84,5,0,3,0
6.66,47,49,4,1,0,0
6.49,62,80,5,1,3,0
7.31,48,71,5,0,1,0
6.95,80,83,4,4,5,0
8.7,80,83,7,1,4,1
4.55,44,72,7,0,3,0
8.29,90,64,5,0,4,1
8.45,100,82,8,1,1,1
5.13,70,71,2,4,4,1
6.86,60,60,1,1,5,0
6.83,100,60,4,3,5,1
5.79,50,52,5,1,2,0
6.42,70,65,5,1,2,0
6.09,72,86,5,1,3,1
8.95,90,74,3,2,6,1
8.14,75,65,3,1,6,1
8.47,62,82,7,3,3,1
7.92,55,61,7,0,4,0
6.07,64,73,5,1,6,1
6.68,54,69,5,1,2,0
7.69,70,82,5,1,5,1
5.98,61,51,3,0,2,0
7.91,47,60,4,1,2,0
6.96,88,50,5,1,2,1
6.83,62,68,5,2,3,0
7.91,50,87,1,2,5,1
7.64,67,65,8,2,3,0
6.84,71,65,6,0,1,0
8.36,43,83,4,4,2,0
6.12,74,85,5,2,3,1
7.82,54,70,7,0,3,0
7.79,95,80,3,0,3,0
6.89,77,57,5,0,1,0
7.53,64,89,5,1,4,1
5.95,58,99,4,3,5,1
8.12,68,78,6,2,3,1
7.02,79,44,4,3,4,1
6.68,69,64,2,0,5,0
8.25,66,79,2,1,4,0
6.5,70,66,2,0,4,0
5.79,60,88,4,0,4,0
5.64,64,79,6,2,2,0
7.81,38,62,3,0,3,0
5.92,84,72,5,2,5,1
8.95,74,60,5,1,2,0
5.12,58,69,4,2,5,0
8.9,98,64,5,0,4,1
7.41,71,87,5,2,3,1
7.1,54,99,5,4,4,1
6.66,82,53,4,3,3,0
7.6,75,46,5,2,5,0
7.16,75,68,8,2,3,1
8.3,63,52,4,1,5,1
7.31,76,72,4,2,3,1
7.35,66,81,5,2,4,1
6.84,78,91,2,1,6,1
7.14,41,74,5,2,1,0
7.51,63,69,4,1,4,0
5.49,95,46,3,0,1,0
5.85,58,72,5,1,5,0
7.94,60,72,1,0,3,0
7.37,63,80,4,1,6,1
7.02,51,62,3,0,5,0
7.22,36,66,1,1,1,0
7.55,66,52,6,2,1,0
6.66,72,42,7,1,4,0
6.42,69,57,3,0,3,0
7.4,67,51,5,1,2,0
6.22,70,76,4,0,1,0
7.61,85,65,5,1,3,0
5.5,67,65,4,1,0,0
8.23,61,59,4,3,5,0
7.67,65,30,6,0,5,0
7.46,78,91,3,2,4,0
8.18,91,58,2,3,0,1
8.87,60,66,6,4,0,1
8.21,71,53,5,0,3,1
5.36,75,84,5,1,6,0
5.92,55,73,5,0,2,0
6.58,70,61,5,1,2,0
7.23,48,66,4,0,1,0
7.72,43,93,4,2,4,1
6.47,75,71,5,0,4,0
7.39,64,69,5,1,1,0
6.44,73,59,5,1,3,0
6.59,69,47,6,4,4,0
5.79,55,69,4,2,3,0
6.28,69,76,4,0,4,1
5.85,51,86,4,0,5,0
6.22,90,42,5,0,4,0
8.25,49,57,5,2,4,0
6.25,67,64,7,2,5,1
9.83,54,71,5,1,5,1
7.69,78,70,7,0,3,1
7.38,65,70,6,2,2,1
6.34,62,77,8,1,5,1
7.9,82,60,5,4,2,0
6.62,70,84,8,1,6,0
7.32,77,77,3,0,0,0
9.76,55,67,2,1,6,1
7.1,48,92,5,0,3,0
8.35,71,92,8,2,4,1
6.5,65,84,4,2,3,1
7.17,79,32,3,0,6,0
8.97,68,92,5,0,2,1
6.57,73,82,5,0,2,0
9.01,45,98,4,3,1,1
7.91,98,88,6,0,6,0
6.64,67,92,8,0,3,0
7.83,80,83,7,0,4,1
8.17,57,89,4,1,4,1
7.82,74,97,4,2,5,1
5.63,50,74,4,3,4,0
6.47,76,51,4,0,3,1
6.95,64,68,3,2,4,0
7.13,70,77,6,1,4,1
7.82,80,72,4,4,2,1
7.38,51,55,7,0,1,0
5.86,59,50,7,0,1,0
7.58,76,62,1,1,3,0
7.81,100,82,8,0,3,1
7.76,67,92,6,0,4,1
8.28,78,83,5,2,6,0
8.03,68,85,4,2,2,1
7.66,99,70,5,1,4,1
7.13,43,49,4,2,3,0
5.54,71,66,5,1,2,0
7.63,45,68,3,1,4,0
7.41,32,65,5,1,6,0
7.47,74,72,4,2,1,0
5.92,72,77,1,0,3,0
6.12,65,83,5,0,1,0
8.25,68,68,5,1,2,0
7.16,100,47,4,1,4,1
7.88,66,65,2,2,5,1
7.23,77,72,7,1,4,1
7.23,60,87,5,0,3,1
8.14,74,64,3,0,5,0
6.68,66,78,5,0,2,0
7.3,63,75,5,2,4,0
6.74,97,72,2,1,3,1
6.77,87,84,5,2,5,0
6.89,72,63,6,1,4,0
7.42,35,64,6,3,5,1
6.72,64,71,3,4,2,0
8.46,100,63,7,2,4,1
6.31,66,78,4,3,4,0
7.01,86,62,7,1,4,1
6.76,91,74,2,3,3,0
8.65,73,70,5,2,0,0
7.4,57,74,5,4,2,0
8.23,33,66,4,1,2,0
5.71,80,67,6,2,5,0
7.47,57,73,5,1,5,1
8.09,72,74,1,0,1,0
7.28,51,71,5,1,6,0
8.27,66,94,5,3,2,1
6.68,70,59,3,0,3,0
8.61,74,71,8,1,2,1
9.5,53,51,7,1,5,0
6.84,87,76,4,1,4,1
6.75,61,57,5,3,3,0
8.65,44,68,4,3,4,0
8.78,68,67,6,1,2,0
6.68,70,75,7,0,3,1
6.78,72,64,4,1,3,0
6.92,90,64,6,1,2,1
5.86,66,90,5,1,5,1
6.28,68,75,4,0,4,0
6.2,53,64,7,1,2,0
6.43,82,68,5,0,2,0
7.17,72,93,5,2,0,1
7.43,63,68,5,0,2,0
8.75,41,63,4,1,3,1
6.2,91,63,4,0,2,0
8.18,51,64,7,4,4,1
6.99,61,64,5,1,3,0
7.15,75,55,6,0,2,0
7.87,52,57,4,1,6,0
6.08,47,61,5,3,2,0
7.58,38,79,8,2,3,0
7.37,80,67,4,2,3,0
7.69,61,69,3,0,2,1
7.49,100,88,5,2,2,1
9.66,55,88,4,2,2,0
6.56,56,68,3,1,5,0
6.67,61,63,7,3,4,0
6.58,73,60,8,0,4,1
6.64,62,81,5,0,3,1
6.56,79,69,6,3,3,1
8.39,55,66,7,1,2,0
8.62,49,61,6,0,1,0
6.63,43,61,2,1,2,0
6.37,36,76,3,3,3,0
7.67,62,54,2,0,1,0
6.65,65,84,1,0,1,0
7.83,60,65,4,0,2,0
7.4,88,70,4,3,3,0
5.68,88,54,4,3,3,0
8.75,64,71,2,1,1,0
9.0,43,67,5,1,2,0
6.59,61,71,4,0,2,0
6.81,61,91,6,0,1,1
7.49,60,74,1,2,2,0
7.53,59,61,6,0,1,0
7.86,60,62,8,1,4,1
9.21,64,79,6,1,3,1
7.02,60,88,6,0,2,0
